"filename","transcript","audio_hash","transcript_hash","vs","sp","cq","gg","aw","vs_corrected","sp_corrected","cq_corrected","gg_corrected","aw_corrected","transcript_corrected","vs_corrected_wer","sp_corrected_wer","cq_corrected_wer","gg_corrected_wer","aw_corrected_wer"
"./data/simple_test/wavs/109865_bear_ch0_16k.wav","bear","843534dfe063a3e954987eb00da2d62d","893b56e3cfe153fb770a120b83bac20c","bear","they are","beare","bear","There","bear","they are","beare","bear","There","bear","0.0","1.0","1.0","0.0","1.0"
"./data/simple_test/wavs/109879_frog_ch0_16k.wav","frog","088556cb2657d541f340dc6fbe15855b","938c2cc0dcc05f2b68c4287040cfcf71","frog","for ah ok NOISE","forog","frog","Frog","frog","for ah ok NOISE","forog","frog","Frog","frog","0.0","1.0","1.0","0.0","0.0"
"./data/simple_test/wavs/109886_ice-cream_ch0_16k.wav","ice cream","45113c5bff91edaf72aacc21b2bddd06","2d6cfc502a0f108b5f431a1e7aaac603","ice cream","ice cream","i cream","ice cream","Scream","ice cream","ice cream","i cream","ice cream","Scream","ice cream","0.0","0.0","0.5","0.0","1.0"
"./data/simple_test/wavs/109881_glass_ch0_16k.wav","glass","f34cf0af7d4f38f36a9c4e92ea2c4de9","2570c919f5ef1d7091f0f66d54dac974","glass","glass","glass","glass","Glass","glass","glass","glass","glass","Glass","glass","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109868_camera_ch0_16k.wav","camera","229dd7c7ed223ae8deb24a7bbee90ed7","dd6d2dcc679d12b9430a9787bab45b33","camera","camera","camera","camera","Camera","camera","camera","camera","camera","Camera","camera","0.0","0.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109869_car_ch0_16k.wav","car","6e484f8c73b4803d2c995900eb3fd927","e6d96502596d7e7887b76646c5f615d9","car","hello SPEECH","car","car","Car","car","hello SPEECH","car","car","Car","car","0.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109902_nail_ch0_16k.wav","nail","cd99f1fbbfb7342d184e523d9fb663a8","8ab8a4dfab57b4618331ffc958ebb4ec","nail","nail NOISE","nail","nail","Nail","nail","nail NOISE","nail","nail","Nail","nail","0.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109885_horse_ch0_16k.wav","horse","000c1f739c6b6a43d1a3ceb43101e876","f1bdf5ed1d7ad7ede4e3809bd35644b0","horst","horses","horse","horse","Horse","horst","horses","horse","horse","Horse","horse","1.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109920_tiger_ch0_16k.wav","tiger","91e3ca3b38adabae37af531219bb1d87","43b90920409618f188bfc6923f16b9fa","tiger","hiking","tiger","tiger","Tiger","tiger","hiking","tiger","tiger","Tiger","tiger","0.0","1.0","0.0","0.0","0.0"
"./data/simple_test/wavs/109874_earth_ch0_16k.wav","earth","0574419d2c066d35c4ef32949c45cc08","852488ddd9570bc877783bf4397563e0","earth","earth","h","Earth","Earth","earth","earth","h","Earth","Earth","earth","0.0","0.0","1.0","0.0","0.0"
